,year,canton,name,lv,party,party_strength,party_abbr,seats_with,seats_without,seat_difference
1,2011,ZH,Anti PowerPoint Partei,,Anti PowerPoint Partei,0.0346010925,APPP,0,0,0
2,2011,ZH,Tierpartei,B,Tierpartei Schweiz (TPS),0.4001635111,TPS,0,0,0
3,2011,ZH,Piratenpartei,E,Piratenpartei,0.8614200271,PP,0,0,0
4,2011,ZH,Subitas,,Subitas (Schweiz),0.0143497859,Sub.,0,0,0
5,2011,ZH,Schweizerische Narrenpartei,,Schweizerische Narrenpartei - Die wenigstens Ehrlichen,0.0614753773,SNP,0,0,0
6,2011,ZH,Konfessionslose.ch,E,Konfessionslose.ch - Liste für die Trennung von Staat und Kirche,0.3115396952,Konf.,0,0,0
7,2011,ZH,Alternative Liste,E,Linke Alternative / AL - Alternative Liste,1.0229398895,AL,0,0,0
8,2011,ZH,parteifrei.ch,,parteifrei.ch,0.4362724494,PF,0,0,0
9,2011,BE,Tierpartei,B,Tierpartei Schweiz (TPS) / Parti suisse pour les animaux (PSpA),0.1904886685,TPS,0,0,0
10,2011,BE,Les Rauraques,E,Les Rauraques (RAU),0.1938185475,RAU,0,0,0
11,2011,BE,Sozio-Liberale Bewegung ,,Sozio-Liberale Bewegung (SLB) / Mouvement socio-libéral (MSL),0.2766193632,SLB,0,0,0
12,2011,BE,Partei national orientierter Schweizer,,Partei national orientierter Schweizer (PNOS) / Parti des Suisses Nationalistes (PSN),0.3016152199,PNOS,0,0,0
13,2011,BE,parteifrei.ch,,parteifrei.ch (pf) / les-sans-parti.ch (lsp),0.2326344904,PF,0,0,0
14,2011,BE,Alpenparlament,D,Alpenparlament (ALP),0.3986605181,ALP,0,0,0
15,2011,BE,Jimy Hofer plus ,E,Jimy Hofer plus (JHp),0.4045694211,Jhp,0,0,0
16,2011,BE,Piratenpartei,E,Piratenpartei (PIRATEN) / Parti Pirate (PIRATES),0.7346300782,PP,0,0,0
17,2011,BE,Alternative Liste,C,Alternative Linke (AL) / La Gauche (LG),0.4618194002,AL,0,0,0
18,2011,LU,Tierpartei,,Tierpartei Schweiz (TPS) / TPS,0.3058066046,TPS,0,0,0
19,2011,LU,parteifrei.ch,,parteifrei.ch / parteifrei,0.1508490881,PF,0,0,0
20,2011,UR,Vereinzelte,,Vereinzelte,4.2639175258,Ver.,0,0,0
21,2011,SZ,Schwyzer Unternehmer,A,Schwyzer Unternehmer,1.9417526942,SU,0,0,0
22,2011,OW,Karl Vogler (Christlichsoziale Partei Obwalden),,Karl Vogler (Christlichsoziale Partei Obwalden),56.8979852894,CSP,1,1,0
23,2011,GL,Vereinzelte,,Vereinzelte,13.7288342064,Ver.,0,0,0
24,2011,ZG,Die Christlichsozialen,B,CSP - die Christlichsozialen,0.7420515846,CSP,0,0,0
25,2011,FR,parteifrei.ch,,les-sans-partis.ch / parteifrei.ch,0.4397817167,PF,0,0,0
26,2011,FR,Piratenpartei,E,Parti Pirate Fribourg (PPFR) / Piratenpartei Freiburg (PPFR),0.614239181,PP,0,0,0
27,2011,FR,Mouvement Citoyen Indépendant / Unabhängige Bürger Bewegung,E,MCI - Mouvement Citoyen Indépendant / UBB - Unabhängige Bürger Bewegung,0.230128178,MCI,0,0,0
28,2011,FR,Politique Intégrale / Integrale Politik,,Politique Intégrale / Integrale Politik,0.2580481408,PI,0,0,0
29,2011,SO,parteifrei.ch,,parteifrei.ch,1.3384436952,PF,0,0,0
30,2011,SO,Tierpartei ,,Tierpartei Schweiz,0.9829758207,TPS,0,0,0
31,2011,BS,Piratenpartei,,Piratenpartei,1.9183076729,PP,0,0,0
32,2011,BS,Freistaat Unteres Kleinbasel,,Freistaat Unteres Kleinbasel - FUK,0.3252531451,FUK,0,0,0
33,2011,BS,parteifrei.ch,,Parteifrei.ch,0.4826453441,PF,0,0,0
34,2011,BS,Volks-Aktion gegen zuviele Ausländer und Asylanten in unserer Heimat ,,Volks-Aktion gegen zuviele Ausländer und Asylanten in unserer Heimat (VA),1.4612927098,VA,0,0,0
35,2011,SH,Alternative Liste,B,Alternative Liste Schaffhausen,4.2706751523,AL,0,0,0
36,2011,AR,Vereinzelte,,Vereinzelte,1.0221660733,Ver.,0,0,0
37,2011,AI,Vereinzelte,,Vereinzelte,3.5758021063,Ver.,0,0,0
38,2011,AG,Sozio-Liberale Bewegung,B,SLB - Sozial-Liberale Bewegung,0.4764447978,SLB,0,0,0
39,2011,AG,Piratenpartei,,PP - Piratenpartei,0.7745003919,PP,0,0,0
40,2011,TI,MontagnaViva,,MontagnaViva,1.7916607388,MV,0,0,0
41,2011,TI,Svizzera Italiana,,Svizzera Italiana,0.2575873767,SI,0,0,0
42,2011,TI,Rafforzare le famiglie,,Rafforzare le famiglie,0.2818771608,RLF,0,0,0
43,2011,TI,Verdi liberali democratici della Svizzera Italiana,,Verdi liberali democratici della Svizzera Italiana (Vdl),1.0523259782,Vdl,0,0,0
44,2011,VD,Parti Pirate,,Parti Pirate Vaudois,0.986558751,PP,0,0,0
45,2011,VD,Parti Nationaliste Suisse,,Parti Nationaliste Suisse - PNS - PNOS,0.0809232225,PNOS,0,0,0
46,2011,VS,La Gauche,,La Gauche – Alternative Linke,0.6497689697,AL,0,0,0
47,2011,GE,Parti Pirate,,Parti Pirate Suisse,0.8999310781,PP,0,0,0
48,2011,GE,La Gauche combative,,La Gauche combative,0.787783844,LGC,0,0,0
49,2011,GE,Alliance BLEUE contre le vol autorisé des assurances-maladie,,Alliance BLEUE contre le vol autorisé des assurances-maladie,0.2587095359,BLEUE,0,0,0
